#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.48938  0.52329  0.10947  1.12598  0.000554  0.000208  0.000693     2.661
   0.50687  0.50596  0.11177  1.12914  0.000526  0.000200  0.000766     2.623
   0.52422  0.48873  0.11383  1.13160  0.000499  0.000193  0.000843     2.586
   0.54144  0.47160  0.11566  1.13305  0.000475  0.000186  0.000918     2.555
   0.55854  0.45458  0.11723  1.13363  0.000452  0.000179  0.000998     2.524
   0.57552  0.43765  0.11854  1.13293  0.000432  0.000173  0.001072     2.500
   0.59241  0.42079  0.11958  1.13118  0.000413  0.000167  0.001147     2.477
   0.60919  0.40402  0.12036  1.12808  0.000396  0.000161  0.001215     2.460
   0.62586  0.38737  0.12086  1.12413  0.000378  0.000155  0.001298     2.437
   0.64237  0.37085  0.12107  1.11870  0.000361  0.000150  0.001391     2.411
   0.65876  0.35447  0.12099  1.11141  0.000344  0.000144  0.001492     2.382
   0.67508  0.33815  0.12060  1.10146  0.000330  0.000140  0.001577     2.359
   0.69140  0.32184  0.11990  1.08860  0.000320  0.000136  0.001618     2.352
   0.70778  0.30550  0.11890  1.07418  0.000311  0.000132  0.001639     2.353
   0.72418  0.28915  0.11761  1.05911  0.000301  0.000128  0.001679     2.348
   0.74055  0.27285  0.11604  1.04248  0.000292  0.000125  0.001705     2.347
   0.75684  0.25667  0.11419  1.02492  0.000281  0.000120  0.001757     2.337
   0.77302  0.24063  0.11205  1.00512  0.000272  0.000116  0.001793     2.333
   0.78911  0.22473  0.10963  0.98354  0.000261  0.000112  0.001834     2.326
   0.80508  0.20899  0.10692  0.95967  0.000252  0.000109  0.001856     2.325
   0.82091  0.19345  0.10393  0.93406  0.000242  0.000104  0.001895     2.318
   0.83653  0.17817  0.10068  0.90582  0.000233  0.000100  0.001910     2.319
   0.85187  0.16322  0.09718  0.87560  0.000222  0.000096  0.001948     2.311
   0.86688  0.14868  0.09345  0.84220  0.000213  0.000092  0.001961     2.310
   0.88150  0.13461  0.08952  0.80637  0.000203  0.000088  0.001970     2.309
   0.89564  0.12108  0.08540  0.76765  0.000192  0.000083  0.001999     2.302
   0.90915  0.10825  0.08115  0.72475  0.000181  0.000079  0.002019     2.292
   0.92189  0.09627  0.07684  0.67836  0.000172  0.000075  0.001987     2.295
   0.93373  0.08523  0.07255  0.62954  0.000161  0.000070  0.001993     2.281
   0.94460  0.07520  0.06834  0.57707  0.000152  0.000067  0.001930     2.282
   0.95449  0.06620  0.06427  0.52290  0.000143  0.000063  0.001878     2.274
   0.96343  0.05816  0.06036  0.46593  0.000134  0.000059  0.001789     2.267
   0.97149  0.05101  0.05664  0.40671  0.000126  0.000056  0.001664     2.263
   0.97880  0.04462  0.05308  0.34442  0.000119  0.000053  0.001518     2.247
   0.98546  0.03890  0.04968  0.28076  0.000113  0.000050  0.001276     2.268
   0.99154  0.03377  0.04642  0.21289  0.000104  0.000047  0.001094     2.223
   0.99709  0.02917  0.04331  0.14174  0.000102  0.000045  0.000722     2.257
   1.00216  0.02505  0.04035  0.06868  0.000091  0.000041  0.000403     2.230
   1.00678  0.02138  0.03754 -0.00983  0.000091  0.000041  0.000058     2.230
   1.01101  0.01809  0.03488 -0.08953  0.000084  0.000038  0.000572     2.225
   1.01488  0.01516  0.03235 -0.18000  0.000075  0.000034  0.001298     2.209
   1.01845  0.01256  0.02991 -0.27409  0.000073  0.000033  0.002004     2.229
   1.02175  0.01025  0.02754 -0.37743  0.000066  0.000030  0.003137     2.191
   1.02484  0.00822  0.02522 -0.48282  0.000065  0.000029  0.003957     2.228
   1.02775  0.00643  0.02293 -0.59313  0.000061  0.000028  0.005341     2.195
   1.03050  0.00484  0.02068 -0.70683  0.000059  0.000027  0.006422     2.214
   1.03310  0.00343  0.01850 -0.83709  0.000054  0.000025  0.008686     2.171
   1.03556  0.00219  0.01637 -1.00421  0.000048  0.000022  0.012085     2.148
   1.03792  0.00117  0.01424 -1.17554  0.000046  0.000021  0.013899     2.204
   1.04022  0.00038  0.01208 -1.33457  0.000046  0.000021  0.015639     2.222
   1.04246 -0.00018  0.00992 -1.48812  0.000046  0.000020  0.017487     2.224
   1.04465 -0.00054  0.00776 -1.65005  0.000044  0.000020  0.020311     2.206
   1.04679 -0.00069  0.00562 -1.80760  0.000044  0.000020  0.021802     2.225
   1.04891 -0.00063  0.00351 -1.96483  0.000044  0.000020  0.024132     2.218
   1.05100 -0.00034  0.00143 -2.10931  0.000045  0.000020  0.024742     2.245
   1.05309  0.00018 -0.00060 -2.22386  0.000048  0.000021  0.023547     2.291
   1.05523  0.00096 -0.00258 -2.28053  0.000055  0.000023  0.018577     2.412
   1.05744  0.00199 -0.00454 -2.30221  0.000063  0.000025  0.015087     2.490
   1.05976  0.00326 -0.00648 -2.29843  0.000074  0.000028  0.011500     2.593
   1.06221  0.00479 -0.00840 -2.27891  0.000086  0.000032  0.008542     2.703
   1.06482  0.00656 -0.01032 -2.24986  0.000102  0.000036  0.006075     2.831
   1.06757  0.00855 -0.01221 -2.21984  0.000116  0.000040  0.004612     2.920
   1.07045  0.01075 -0.01407 -2.19356  0.000128  0.000044  0.003988     2.944
   1.07350  0.01317 -0.01592 -2.17003  0.000139  0.000047  0.003593     2.952
   1.07674  0.01585 -0.01775 -2.14589  0.000154  0.000051  0.002956     3.007
   1.08022  0.01883 -0.01955 -2.11371  0.000189  0.000056  0.001119     3.377
   1.08397  0.02213 -0.02132 -2.08536  0.000259  0.000061 -0.000511     4.274
   1.08805  0.02582 -0.02307 -2.06471  0.000341  0.000065 -0.000745     5.277
   1.09253  0.02994 -0.02483 -1.98711  0.000332  0.000083 -0.000170     4.003
   1.09747  0.03453 -0.02665 -1.87995  0.000218  0.000111  0.006885     1.968
   1.10294  0.03966 -0.02854 -1.84401  0.000197  0.000127  0.012686     1.551
   1.10901  0.04541 -0.03049 -1.81378  0.000212  0.000147  0.014117     1.441
   1.11575  0.05185 -0.03249 -1.78163  0.000244  0.000171  0.013459     1.422
